date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:53:13	185115/185115	---M--	200	added ('OK')	image/jpeg	etag:%2258da432a-2d31b%22	http://kvest.kwst.net/site/images/folio/4.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/4.jpg	(from http://kvest.kwst.net/site/portfolio2.html)
00:53:30	107188/107188	---M--	200	added ('OK')	image/jpeg	etag:%22582357b0-1a2b4%22	http://kvest.kwst.net/site/images/folio/15.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/15.jpg	(from http://kvest.kwst.net/site/portfolio2.html)
00:53:33	28447/28447	---MCZ	200	added ('OK')	application/javascript	etag:W/%225819bcb2-6f1f%22	http://kvest.kwst.net/site/js/map.js	c:/temp/pfsem2/sem/kvest.kwst.net/site/js/map.js	(from http://kvest.kwst.net/site/contacts.html)
00:53:34	31204/31204	---MCZ	200	added ('OK')	text/html	etag:W/%2258e5f812-79e4%22	http://kvest.kwst.net/site/blog-single.html	c:/temp/pfsem2/sem/kvest.kwst.net/site/blog-single.html	(from http://kvest.kwst.net/site/blog.html)
00:53:48	258927/258927	---M--	200	added ('OK')	image/jpeg	etag:%2258da4310-3f36f%22	http://kvest.kwst.net/site/images/folio/10.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/10.jpg	(from http://kvest.kwst.net/site/portfolio2.html)
00:53:57	619702/619702	---M--	200	added ('OK')	image/jpeg	etag:%2258da43a8-974b6%22	http://kvest.kwst.net/site/images/folio/12.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/folio/12.jpg	(from http://kvest.kwst.net/site/portfolio2.html)
00:53:58	174717/174717	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fcd2-2aa7d%22	http://kvest.kwst.net/site/images/bg/long/5.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/long/5.jpg	(from http://kvest.kwst.net/site/blog.html)
00:54:01	378303/378303	---M--	200	added ('OK')	image/jpeg	etag:%2258e5fc96-5c5bf%22	http://kvest.kwst.net/site/images/bg/8.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/bg/8.jpg	(from http://kvest.kwst.net/site/portfolio-single4.html)
00:54:02	11514/11514	---M--	200	added ('OK')	image/jpeg	etag:%2258e0b2a8-2cfa%22	http://kvest.kwst.net/site/images/author.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/author.jpg	(from http://kvest.kwst.net/site/blog-single.html)
00:54:02	3822/3822	---M--	200	added ('OK')	image/jpeg	etag:%22544fdd3c-eee%22	http://kvest.kwst.net/site/images/blog/users/1.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/blog/users/1.jpg	(from http://kvest.kwst.net/site/blog-single.html)
00:54:02	2963/2963	---M--	200	added ('OK')	image/jpeg	etag:%22544fdd3c-b93%22	http://kvest.kwst.net/site/images/blog/users/2.jpg	c:/temp/pfsem2/sem/kvest.kwst.net/site/images/blog/users/2.jpg	(from http://kvest.kwst.net/site/blog-single.html)
